Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Españoles;2021;590.890
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Españoles;2020;597.761
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Españoles;2019;606.460
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Extranjeros;2021;36.951
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Extranjeros;2020;36.881
Total Nacional;03 Asturias, Principado de;Ambos sexos;16-64 años;Extranjeros;2019;34.010
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;TOTAL;2021;268.839
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;TOTAL;2020;266.567
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;TOTAL;2019;262.993
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Españoles;2021;266.358
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Españoles;2020;264.227
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Españoles;2019;260.985
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Extranjeros;2021;2.481
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Extranjeros;2020;2.340
Total Nacional;03 Asturias, Principado de;Ambos sexos;65 y más;Extranjeros;2019;2.008
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;TOTAL;2021;482.665
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;TOTAL;2020;486.066
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;TOTAL;2019;488.137
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Españoles;2021;461.659
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Españoles;2020;465.019
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Españoles;2019;468.801
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Extranjeros;2021;21.006
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Extranjeros;2020;21.047
Total Nacional;03 Asturias, Principado de;Hombres;TOTAL EDADES;Extranjeros;2019;19.336
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;TOTAL;2021;59.187
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;TOTAL;2020;60.456
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;TOTAL;2019;61.311
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Españoles;2021;56.108
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Españoles;2020;57.298
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Españoles;2019;58.440
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Extranjeros;2021;3.079
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Extranjeros;2020;3.158
Total Nacional;03 Asturias, Principado de;Hombres;0-15 años;Extranjeros;2019;2.871
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;TOTAL;2021;310.853
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;TOTAL;2020;314.148
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;TOTAL;2019;317.155
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Españoles;2021;293.967
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Españoles;2020;297.245
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Españoles;2019;301.546
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Extranjeros;2021;16.886
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Extranjeros;2020;16.903
Total Nacional;03 Asturias, Principado de;Hombres;16-64 años;Extranjeros;2019;15.609
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;TOTAL;2021;112.625
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;TOTAL;2020;111.462
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;TOTAL;2019;109.671
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Españoles;2021;111.584
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Españoles;2020;110.476
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Españoles;2019;108.815
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Extranjeros;2021;1.041
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Extranjeros;2020;986
Total Nacional;03 Asturias, Principado de;Hombres;65 y más;Extranjeros;2019;856
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;TOTAL;2021;529.127
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;TOTAL;2020;532.718
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;TOTAL;2019;534.663
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Españoles;2021;504.688
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Españoles;2020;508.444
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Españoles;2019;512.373
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Extranjeros;2021;24.439
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Extranjeros;2020;24.274
Total Nacional;03 Asturias, Principado de;Mujeres;TOTAL EDADES;Extranjeros;2019;22.290
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;TOTAL;2021;55.925
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;TOTAL;2020;57.119
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;TOTAL;2019;58.026
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Españoles;2021;52.991
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Españoles;2020;54.177
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Españoles;2019;55.289
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Extranjeros;2021;2.934
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Extranjeros;2020;2.942
Total Nacional;03 Asturias, Principado de;Mujeres;0-15 años;Extranjeros;2019;2.737
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;TOTAL;2021;316.988
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;TOTAL;2020;320.494
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;TOTAL;2019;323.315
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Españoles;2021;296.923
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Españoles;2020;300.516
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Españoles;2019;304.914
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Extranjeros;2021;20.065
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Extranjeros;2020;19.978
Total Nacional;03 Asturias, Principado de;Mujeres;16-64 años;Extranjeros;2019;18.401
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;TOTAL;2021;156.214
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;TOTAL;2020;155.105
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;TOTAL;2019;153.322
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Españoles;2021;154.774
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Españoles;2020;153.751
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Españoles;2019;152.170
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Extranjeros;2021;1.440
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Extranjeros;2020;1.354
Total Nacional;03 Asturias, Principado de;Mujeres;65 y más;Extranjeros;2019;1.152
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;TOTAL;2021;1.173.008
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;TOTAL;2020;1.171.543
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;TOTAL;2019;1.149.460
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Españoles;2021;952.711
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Españoles;2020;951.508
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Españoles;2019;944.473
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Extranjeros;2021;220.297
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Extranjeros;2020;220.035
Total Nacional;04 Balears, Illes;Ambos sexos;TOTAL EDADES;Extranjeros;2019;204.987
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;TOTAL;2021;183.014
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;TOTAL;2020;185.264
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;TOTAL;2019;185.023
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Españoles;2021;151.446
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Españoles;2020;153.707
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Españoles;2019;155.300
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Extranjeros;2021;31.568
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Extranjeros;2020;31.557
Total Nacional;04 Balears, Illes;Ambos sexos;0-15 años;Extranjeros;2019;29.723
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;TOTAL;2021;802.632
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;TOTAL;2020;803.055
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;TOTAL;2019;785.793
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Españoles;2021;630.199
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Españoles;2020;630.337
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Españoles;2019;625.467
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Extranjeros;2021;172.433
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Extranjeros;2020;172.718
Total Nacional;04 Balears, Illes;Ambos sexos;16-64 años;Extranjeros;2019;160.326
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;TOTAL;2021;187.362
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;TOTAL;2020;183.224
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;TOTAL;2019;178.644
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Españoles;2021;171.066
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Españoles;2020;167.464
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Españoles;2019;163.706
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Extranjeros;2021;16.296
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Extranjeros;2020;15.760
Total Nacional;04 Balears, Illes;Ambos sexos;65 y más;Extranjeros;2019;14.938
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;TOTAL;2021;584.853
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;TOTAL;2020;584.298
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;TOTAL;2019;572.757
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Españoles;2021;473.475
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Españoles;2020;473.118
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Españoles;2019;469.551
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Extranjeros;2021;111.378
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Extranjeros;2020;111.180
Total Nacional;04 Balears, Illes;Hombres;TOTAL EDADES;Extranjeros;2019;103.206
Total Nacional;04 Balears, Illes;Hombres;0-15 años;TOTAL;2021;94.029
Total Nacional;04 Balears, Illes;Hombres;0-15 años;TOTAL;2020;95.241
Total Nacional;04 Balears, Illes;Hombres;0-15 años;TOTAL;2019;95.108
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Españoles;2021;77.855
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Españoles;2020;79.066
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Españoles;2019;79.945
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Extranjeros;2021;16.174
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Extranjeros;2020;16.175
Total Nacional;04 Balears, Illes;Hombres;0-15 años;Extranjeros;2019;15.163
Total Nacional;04 Balears, Illes;Hombres;16-64 años;TOTAL;2021;407.409
Total Nacional;04 Balears, Illes;Hombres;16-64 años;TOTAL;2020;407.536
Total Nacional;04 Balears, Illes;Hombres;16-64 años;TOTAL;2019;398.260
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Españoles;2021;319.697
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Españoles;2020;319.755
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Españoles;2019;317.084
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Extranjeros;2021;87.712
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Extranjeros;2020;87.781
Total Nacional;04 Balears, Illes;Hombres;16-64 años;Extranjeros;2019;81.176
Total Nacional;04 Balears, Illes;Hombres;65 y más;TOTAL;2021;83.415
Total Nacional;04 Balears, Illes;Hombres;65 y más;TOTAL;2020;81.521
Total Nacional;04 Balears, Illes;Hombres;65 y más;TOTAL;2019;79.389
Total Nacional;04 Balears, Illes;Hombres;65 y más;Españoles;2021;75.923
Total Nacional;04 Balears, Illes;Hombres;65 y más;Españoles;2020;74.297
Total Nacional;04 Balears, Illes;Hombres;65 y más;Españoles;2019;72.522
Total Nacional;04 Balears, Illes;Hombres;65 y más;Extranjeros;2021;7.492
Total Nacional;04 Balears, Illes;Hombres;65 y más;Extranjeros;2020;7.224
Total Nacional;04 Balears, Illes;Hombres;65 y más;Extranjeros;2019;6.867
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;TOTAL;2021;588.155
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;TOTAL;2020;587.245
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;TOTAL;2019;576.703
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Españoles;2021;479.236
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Españoles;2020;478.390
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Españoles;2019;474.922
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Extranjeros;2021;108.919
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Extranjeros;2020;108.855
Total Nacional;04 Balears, Illes;Mujeres;TOTAL EDADES;Extranjeros;2019;101.781
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;TOTAL;2021;88.985
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;TOTAL;2020;90.023
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;TOTAL;2019;89.915
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Españoles;2021;73.591
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Españoles;2020;74.641
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Españoles;2019;75.355
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Extranjeros;2021;15.394
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Extranjeros;2020;15.382
Total Nacional;04 Balears, Illes;Mujeres;0-15 años;Extranjeros;2019;14.560
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;TOTAL;2021;395.223
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;TOTAL;2020;395.519
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;TOTAL;2019;387.533
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Españoles;2021;310.502
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Españoles;2020;310.582
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Españoles;2019;308.383
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Extranjeros;2021;84.721
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Extranjeros;2020;84.937
Total Nacional;04 Balears, Illes;Mujeres;16-64 años;Extranjeros;2019;79.150
Total Nacional;04 Balears, Illes;Mujeres;65 y más;TOTAL;2021;103.947
Total Nacional;04 Balears, Illes;Mujeres;65 y más;TOTAL;2020;101.703
Total Nacional;04 Balears, Illes;Mujeres;65 y más;TOTAL;2019;99.255
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Españoles;2021;95.143
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Españoles;2020;93.167
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Españoles;2019;91.184
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Extranjeros;2021;8.804
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Extranjeros;2020;8.536
Total Nacional;04 Balears, Illes;Mujeres;65 y más;Extranjeros;2019;8.071
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;TOTAL;2021;2.172.944
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;TOTAL;2020;2.175.952
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;TOTAL;2019;2.153.389
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Españoles;2021;1.885.118
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Españoles;2020;1.883.410
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Españoles;2019;1.876.355
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Extranjeros;2021;287.826
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Extranjeros;2020;292.542
Total Nacional;05 Canarias;Ambos sexos;TOTAL EDADES;Extranjeros;2019;277.034
Total Nacional;05 Canarias;Ambos sexos;0-15 años;TOTAL;2021;295.212
Total Nacional;05 Canarias;Ambos sexos;0-15 años;TOTAL;2020;304.919
Total Nacional;05 Canarias;Ambos sexos;0-15 años;TOTAL;2019;309.273
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Españoles;2021;262.839
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Españoles;2020;271.336
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Españoles;2019;277.067
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Extranjeros;2021;32.373
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Extranjeros;2020;33.583
Total Nacional;05 Canarias;Ambos sexos;0-15 años;Extranjeros;2019;32.206
Total Nacional;05 Canarias;Ambos sexos;16-64 años;TOTAL;2021;1.516.473
Total Nacional;05 Canarias;Ambos sexos;16-64 años;TOTAL;2020;1.519.911
Total Nacional;05 Canarias;Ambos sexos;16-64 años;TOTAL;2019;1.503.437
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Españoles;2021;1.297.763
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Españoles;2020;1.296.371
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Españoles;2019;1.292.244
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Extranjeros;2021;218.710
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Extranjeros;2020;223.540
Total Nacional;05 Canarias;Ambos sexos;16-64 años;Extranjeros;2019;211.193
Total Nacional;05 Canarias;Ambos sexos;65 y más;TOTAL;2021;361.259
Total Nacional;05 Canarias;Ambos sexos;65 y más;TOTAL;2020;351.122
Total Nacional;05 Canarias;Ambos sexos;65 y más;TOTAL;2019;340.679
Total Nacional;05 Canarias;Ambos sexos;65 y más;Españoles;2021;324.516
Total Nacional;05 Canarias;Ambos sexos;65 y más;Españoles;2020;315.703
Total Nacional;05 Canarias;Ambos sexos;65 y más;Españoles;2019;307.044
Total Nacional;05 Canarias;Ambos sexos;65 y más;Extranjeros;2021;36.743
Total Nacional;05 Canarias;Ambos sexos;65 y más;Extranjeros;2020;35.419
Total Nacional;05 Canarias;Ambos sexos;65 y más;Extranjeros;2019;33.635
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;TOTAL;2021;1.074.180
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;TOTAL;2020;1.076.185
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;TOTAL;2019;1.065.971
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Españoles;2021;931.933
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Españoles;2020;931.557
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Españoles;2019;928.620
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Extranjeros;2021;142.247
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Extranjeros;2020;144.628
Total Nacional;05 Canarias;Hombres;TOTAL EDADES;Extranjeros;2019;137.351
Total Nacional;05 Canarias;Hombres;0-15 años;TOTAL;2021;151.509
Total Nacional;05 Canarias;Hombres;0-15 años;TOTAL;2020;156.348
Total Nacional;05 Canarias;Hombres;0-15 años;TOTAL;2019;158.714
Total Nacional;05 Canarias;Hombres;0-15 años;Españoles;2021;134.866
Total Nacional;05 Canarias;Hombres;0-15 años;Españoles;2020;139.130
Total Nacional;05 Canarias;Hombres;0-15 años;Españoles;2019;142.090
Total Nacional;05 Canarias;Hombres;0-15 años;Extranjeros;2021;16.643
Total Nacional;05 Canarias;Hombres;0-15 años;Extranjeros;2020;17.218
Total Nacional;05 Canarias;Hombres;0-15 años;Extranjeros;2019;16.624
Total Nacional;05 Canarias;Hombres;16-64 años;TOTAL;2021;760.989
Total Nacional;05 Canarias;Hombres;16-64 años;TOTAL;2020;763.030
Total Nacional;05 Canarias;Hombres;16-64 años;TOTAL;2019;755.126
Total Nacional;05 Canarias;Hombres;16-64 años;Españoles;2021;653.424
Total Nacional;05 Canarias;Hombres;16-64 años;Españoles;2020;653.021
Total Nacional;05 Canarias;Hombres;16-64 años;Españoles;2019;651.088
Total Nacional;05 Canarias;Hombres;16-64 años;Extranjeros;2021;107.565
Total Nacional;05 Canarias;Hombres;16-64 años;Extranjeros;2020;110.009
Total Nacional;05 Canarias;Hombres;16-64 años;Extranjeros;2019;104.038
Total Nacional;05 Canarias;Hombres;65 y más;TOTAL;2021;161.682
Total Nacional;05 Canarias;Hombres;65 y más;TOTAL;2020;156.807
Total Nacional;05 Canarias;Hombres;65 y más;TOTAL;2019;152.131
Total Nacional;05 Canarias;Hombres;65 y más;Españoles;2021;143.643
Total Nacional;05 Canarias;Hombres;65 y más;Españoles;2020;139.406
Total Nacional;05 Canarias;Hombres;65 y más;Españoles;2019;135.442
Total Nacional;05 Canarias;Hombres;65 y más;Extranjeros;2021;18.039
Total Nacional;05 Canarias;Hombres;65 y más;Extranjeros;2020;17.401
Total Nacional;05 Canarias;Hombres;65 y más;Extranjeros;2019;16.689
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;TOTAL;2021;1.098.764
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;TOTAL;2020;1.099.767
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;TOTAL;2019;1.087.418
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Españoles;2021;953.185
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Españoles;2020;951.853
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Españoles;2019;947.735
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Extranjeros;2021;145.579
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Extranjeros;2020;147.914
Total Nacional;05 Canarias;Mujeres;TOTAL EDADES;Extranjeros;2019;139.683
Total Nacional;05 Canarias;Mujeres;0-15 años;TOTAL;2021;143.703
Total Nacional;05 Canarias;Mujeres;0-15 años;TOTAL;2020;148.571
Total Nacional;05 Canarias;Mujeres;0-15 años;TOTAL;2019;150.559
Total Nacional;05 Canarias;Mujeres;0-15 años;Españoles;2021;127.973
Total Nacional;05 Canarias;Mujeres;0-15 años;Españoles;2020;132.206
Total Nacional;05 Canarias;Mujeres;0-15 años;Españoles;2019;134.977
Total Nacional;05 Canarias;Mujeres;0-15 años;Extranjeros;2021;15.730
Total Nacional;05 Canarias;Mujeres;0-15 años;Extranjeros;2020;16.365
Total Nacional;05 Canarias;Mujeres;0-15 años;Extranjeros;2019;15.582
Total Nacional;05 Canarias;Mujeres;16-64 años;TOTAL;2021;755.484
Total Nacional;05 Canarias;Mujeres;16-64 años;TOTAL;2020;756.881
Total Nacional;05 Canarias;Mujeres;16-64 años;TOTAL;2019;748.311
Total Nacional;05 Canarias;Mujeres;16-64 años;Españoles;2021;644.339
Total Nacional;05 Canarias;Mujeres;16-64 años;Españoles;2020;643.350
Total Nacional;05 Canarias;Mujeres;16-64 años;Españoles;2019;641.156
Total Nacional;05 Canarias;Mujeres;16-64 años;Extranjeros;2021;111.145
Total Nacional;05 Canarias;Mujeres;16-64 años;Extranjeros;2020;113.531
Total Nacional;05 Canarias;Mujeres;16-64 años;Extranjeros;2019;107.155
Total Nacional;05 Canarias;Mujeres;65 y más;TOTAL;2021;199.577
Total Nacional;05 Canarias;Mujeres;65 y más;TOTAL;2020;194.315
Total Nacional;05 Canarias;Mujeres;65 y más;TOTAL;2019;188.548
Total Nacional;05 Canarias;Mujeres;65 y más;Españoles;2021;180.873
Total Nacional;05 Canarias;Mujeres;65 y más;Españoles;2020;176.297
Total Nacional;05 Canarias;Mujeres;65 y más;Españoles;2019;171.602
Total Nacional;05 Canarias;Mujeres;65 y más;Extranjeros;2021;18.704
Total Nacional;05 Canarias;Mujeres;65 y más;Extranjeros;2020;18.018
Total Nacional;05 Canarias;Mujeres;65 y más;Extranjeros;2019;16.946
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;TOTAL;2021;584.507
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;TOTAL;2020;582.905
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;TOTAL;2019;581.078
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Españoles;2021;548.340
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Españoles;2020;547.009
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Españoles;2019;548.295
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Extranjeros;2021;36.167
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Extranjeros;2020;35.896
Total Nacional;06 Cantabria;Ambos sexos;TOTAL EDADES;Extranjeros;2019;32.783
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;TOTAL;2021;79.966
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;TOTAL;2020;81.521
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;TOTAL;2019;82.550
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Españoles;2021;74.849
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Españoles;2020;76.367
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Españoles;2019;77.828
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Extranjeros;2021;5.117
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Extranjeros;2020;5.154
Total Nacional;06 Cantabria;Ambos sexos;0-15 años;Extranjeros;2019;4.722
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;TOTAL;2021;372.525
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;TOTAL;2020;371.959
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;TOTAL;2019;371.628
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Españoles;2021;343.306
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Españoles;2020;342.917
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Españoles;2019;345.037
