,value,percentage,datetime,Tipo,Id_Comunidad
67,28124.341,0.023419526373934508,2021-09-01T00:00:00.000+02:00,generacion,4
68,14829.391,0.011018638334447672,2021-10-01T00:00:00.000+02:00,generacion,4
69,11331.529,0.010291624773121977,2021-11-01T00:00:00.000+01:00,generacion,4
70,15024.074,0.011131551776811447,2021-12-01T00:00:00.000+01:00,generacion,4
71,131495.03,0.14964129954808986,2019-01-01T00:00:00.000+01:00,generacion,5
72,221430.474,0.38912332910566433,2019-02-01T00:00:00.000+01:00,generacion,5
73,200132.786,0.2812927029106596,2019-03-01T00:00:00.000+01:00,generacion,5
74,178686.785,0.29161033746940535,2019-04-01T00:00:00.000+02:00,generacion,5
75,302077.376,0.3130918635375393,2019-05-01T00:00:00.000+02:00,generacion,5
76,266470.668,0.40763424594896525,2019-06-01T00:00:00.000+02:00,generacion,5
77,199161.329,0.32304950265720633,2019-07-01T00:00:00.000+02:00,generacion,5
78,156725.948,0.3430474067438626,2019-08-01T00:00:00.000+02:00,generacion,5
79,103073.651,0.20635006694087785,2019-09-01T00:00:00.000+02:00,generacion,5
80,130416.331,0.2526682499426283,2019-10-01T00:00:00.000+02:00,generacion,5
81,243630.788,0.28611166056097653,2019-11-01T00:00:00.000+01:00,generacion,5
82,413610.263,0.4299276935381387,2019-12-01T00:00:00.000+01:00,generacion,5
83,287280.183,0.39647012718733704,2020-01-01T00:00:00.000+01:00,generacion,5
84,269668.184,0.3412765928797077,2020-02-01T00:00:00.000+01:00,generacion,5
85,411437.656,0.34425329716217745,2020-03-01T00:00:00.000+01:00,generacion,5
86,420455.39,0.423757374842193,2020-04-01T00:00:00.000+02:00,generacion,5
87,458389.649,0.40071116456114214,2020-05-01T00:00:00.000+02:00,generacion,5
88,326459.216,0.3289340430454505,2020-06-01T00:00:00.000+02:00,generacion,5
89,257572.389,0.21809613642378584,2020-07-01T00:00:00.000+02:00,generacion,5
90,209517.142,0.19542118230502795,2020-08-01T00:00:00.000+02:00,generacion,5
91,150212.625,0.15860091377109917,2020-09-01T00:00:00.000+02:00,generacion,5
92,240267.683,0.1989560177675142,2020-10-01T00:00:00.000+02:00,generacion,5
93,202285.404,0.2706733157928651,2020-11-01T00:00:00.000+01:00,generacion,5
94,233144.363,0.17404335843115912,2020-12-01T00:00:00.000+01:00,generacion,5
95,227814.858,0.1428110905827463,2021-01-01T00:00:00.000+01:00,generacion,5
96,306758.08,0.2551748716454709,2021-02-01T00:00:00.000+01:00,generacion,5
97,270285.922,0.17489444974620724,2021-03-01T00:00:00.000+01:00,generacion,5
98,235923.132,0.19734208697929406,2021-04-01T00:00:00.000+02:00,generacion,5
99,289607.81,0.22427371900209483,2021-05-01T00:00:00.000+02:00,generacion,5
100,275771.771,0.2540784589297809,2021-06-01T00:00:00.000+02:00,generacion,5
101,226436.584,0.1665733081183365,2021-07-01T00:00:00.000+02:00,generacion,5
102,178880.721,0.1563856132445995,2021-08-01T00:00:00.000+02:00,generacion,5
103,122543.897,0.15278982651606052,2021-09-01T00:00:00.000+02:00,generacion,5
104,111800.572,0.11943489848512882,2021-10-01T00:00:00.000+02:00,generacion,5
105,102818.548,0.062268645580299035,2021-11-01T00:00:00.000+01:00,generacion,5
106,300180.331,0.22593349002272997,2021-12-01T00:00:00.000+01:00,generacion,5
107,18324.586,0.5222924662476366,2019-01-01T00:00:00.000+01:00,generacion,6
108,33896.027,0.6841095353028828,2019-02-01T00:00:00.000+01:00,generacion,6
109,20897.705,0.585801231287587,2019-03-01T00:00:00.000+01:00,generacion,6
110,18934.539,0.5382456817204587,2019-04-01T00:00:00.000+02:00,generacion,6
111,16525.627,0.5085280456423915,2019-05-01T00:00:00.000+02:00,generacion,6
112,12824.067,0.47592558906663907,2019-06-01T00:00:00.000+02:00,generacion,6
113,9794.195,0.44141460061720195,2019-07-01T00:00:00.000+02:00,generacion,6
114,5418.636,0.3025683462878585,2019-08-01T00:00:00.000+02:00,generacion,6
115,7280.188,0.33039705075602693,2019-09-01T00:00:00.000+02:00,generacion,6
116,14203.371,0.44099026445420536,2019-10-01T00:00:00.000+02:00,generacion,6
117,33469.68,0.6511028005926668,2019-11-01T00:00:00.000+01:00,generacion,6
118,38335.339,0.6964404577151154,2019-12-01T00:00:00.000+01:00,generacion,6
119,17217.348,0.48743617392674593,2020-01-01T00:00:00.000+01:00,generacion,6
120,13735.378,0.45892522603115965,2020-02-01T00:00:00.000+01:00,generacion,6
121,19071.777,0.5678941098550283,2020-03-01T00:00:00.000+01:00,generacion,6
122,27640.193,0.613236508904874,2020-04-01T00:00:00.000+02:00,generacion,6
123,15828.688,0.5236024519063702,2020-05-01T00:00:00.000+02:00,generacion,6
124,10297.485,0.4404705297196775,2020-06-01T00:00:00.000+02:00,generacion,6
125,10035.132,0.4404830220170358,2020-07-01T00:00:00.000+02:00,generacion,6
126,5798.843,0.27559498511905994,2020-08-01T00:00:00.000+02:00,generacion,6
127,5940.097,0.28255023009392405,2020-09-01T00:00:00.000+02:00,generacion,6
128,19866.496,0.50887941152611,2020-10-01T00:00:00.000+02:00,generacion,6
129,11018.017,0.3538095334278044,2020-11-01T00:00:00.000+01:00,generacion,6
130,24967.619,0.5535293103374694,2020-12-01T00:00:00.000+01:00,generacion,6
131,33604.108,0.7052287134949982,2021-01-01T00:00:00.000+01:00,generacion,6
132,32883.652,0.6625128420641035,2021-02-01T00:00:00.000+01:00,generacion,6
133,24006.9,0.609806017273938,2021-03-01T00:00:00.000+01:00,generacion,6
134,18199.794,0.5358230308413218,2021-04-01T00:00:00.000+02:00,generacion,6
135,17597.255,0.5365008998843677,2021-05-01T00:00:00.000+02:00,generacion,6
136,13223.311,0.4884147806061601,2021-06-01T00:00:00.000+02:00,generacion,6
137,10065.259,0.4357636696011012,2021-07-01T00:00:00.000+02:00,generacion,6
138,2833.783,0.19676554881065422,2021-08-01T00:00:00.000+02:00,generacion,6
139,5357.63,0.2741105737014285,2021-09-01T00:00:00.000+02:00,generacion,6
140,3268.006,0.1714581875606946,2021-10-01T00:00:00.000+02:00,generacion,6
141,20693.787,0.5494130785394,2021-11-01T00:00:00.000+01:00,generacion,6
142,45093.278,0.668464164464563,2021-12-01T00:00:00.000+01:00,generacion,6
143,56524.881,0.046282850859860496,2019-01-01T00:00:00.000+01:00,generacion,7
144,65394.535,0.07446139242092797,2019-02-01T00:00:00.000+01:00,generacion,7
145,68060.45,0.06826069041446736,2019-03-01T00:00:00.000+01:00,generacion,7
146,66665.149,0.05967701596416004,2019-04-01T00:00:00.000+02:00,generacion,7
147,64692.345,0.06780318588316271,2019-05-01T00:00:00.000+02:00,generacion,7
148,48251.199,0.04897773705340384,2019-06-01T00:00:00.000+02:00,generacion,7
149,59170.406,0.06152312562833324,2019-07-01T00:00:00.000+02:00,generacion,7
150,51212.644,0.06455499567909119,2019-08-01T00:00:00.000+02:00,generacion,7
151,47172.254,0.05825554094590452,2019-09-01T00:00:00.000+02:00,generacion,7
152,24349.004,0.031064019855943707,2019-10-01T00:00:00.000+02:00,generacion,7
153,24587.189,0.015232479836671699,2019-11-01T00:00:00.000+01:00,generacion,7
154,46057.884,0.046095777171911496,2019-12-01T00:00:00.000+01:00,generacion,7
155,42837.007,0.05291693229254727,2020-01-01T00:00:00.000+01:00,generacion,7
156,41127.482,0.05815647445966188,2020-02-01T00:00:00.000+01:00,generacion,7
157,74834.96,0.06141324079173512,2020-03-01T00:00:00.000+01:00,generacion,7
158,84727.773,0.09507334610523714,2020-04-01T00:00:00.000+02:00,generacion,7
159,81019.221,0.0761201858946472,2020-05-01T00:00:00.000+02:00,generacion,7
160,76267.721,0.06845242353955558,2020-06-01T00:00:00.000+02:00,generacion,7
161,73644.057,0.06848844920143701,2020-07-01T00:00:00.000+02:00,generacion,7
162,70583.172,0.06841459132395375,2020-08-01T00:00:00.000+02:00,generacion,7
163,42371.251,0.04386317695778426,2020-09-01T00:00:00.000+02:00,generacion,7
164,30150.68,0.027049735028700714,2020-10-01T00:00:00.000+02:00,generacion,7
165,33507.403,0.047503119708989364,2020-11-01T00:00:00.000+01:00,generacion,7
166,41917.384,0.031470703323353826,2020-12-01T00:00:00.000+01:00,generacion,7
167,65930.749,0.05041080674488686,2021-01-01T00:00:00.000+01:00,generacion,7
168,107799.992,0.09184145993403829,2021-02-01T00:00:00.000+01:00,generacion,7
169,72057.474,0.06867171880464741,2021-03-01T00:00:00.000+01:00,generacion,7
170,88528.372,0.09902218719086213,2021-04-01T00:00:00.000+02:00,generacion,7
171,84699.337,0.06735941808221968,2021-05-01T00:00:00.000+02:00,generacion,7
172,74257.308,0.06748173894848139,2021-06-01T00:00:00.000+02:00,generacion,7
173,68318.271,0.05497342621366298,2021-07-01T00:00:00.000+02:00,generacion,7
174,53936.446,0.05064900335218582,2021-08-01T00:00:00.000+02:00,generacion,7
175,51631.927,0.0568129475006624,2021-09-01T00:00:00.000+02:00,generacion,7
176,27011.151,0.03168115837274447,2021-10-01T00:00:00.000+02:00,generacion,7
177,37958.265,0.032629610608382965,2021-11-01T00:00:00.000+01:00,generacion,7
178,58865.234,0.04237582655650409,2021-12-01T00:00:00.000+01:00,generacion,7
179,498000.701,0.2695354577159807,2019-01-01T00:00:00.000+01:00,generacion,8
180,532852.413,0.4072416547087818,2019-02-01T00:00:00.000+01:00,generacion,8
181,525850.947,0.2899545373278027,2019-03-01T00:00:00.000+01:00,generacion,8
182,371615.305,0.24258722171143193,2019-04-01T00:00:00.000+02:00,generacion,8
183,295840.986,0.18978891783348417,2019-05-01T00:00:00.000+02:00,generacion,8
184,194490.28,0.1802045789434856,2019-06-01T00:00:00.000+02:00,generacion,8
185,349848.65,0.3003455633053471,2019-07-01T00:00:00.000+02:00,generacion,8
186,359216.117,0.3312956374714962,2019-08-01T00:00:00.000+02:00,generacion,8
187,399504.226,0.27190888853280887,2019-09-01T00:00:00.000+02:00,generacion,8
188,229935.938,0.19299419145375768,2019-10-01T00:00:00.000+02:00,generacion,8
189,410281.133,0.17633506361142418,2019-11-01T00:00:00.000+01:00,generacion,8
190,1326686.653,0.4893434602218769,2019-12-01T00:00:00.000+01:00,generacion,8
191,1150910.25,0.4647767381308631,2020-01-01T00:00:00.000+01:00,generacion,8
192,791605.827,0.4172246904364876,2020-02-01T00:00:00.000+01:00,generacion,8
193,549093.805,0.2707668302162797,2020-03-01T00:00:00.000+01:00,generacion,8
194,722562.473,0.4514352639598731,2020-04-01T00:00:00.000+02:00,generacion,8
195,573872.776,0.37414256818003533,2020-05-01T00:00:00.000+02:00,generacion,8
196,414579.573,0.32106615537694844,2020-06-01T00:00:00.000+02:00,generacion,8
197,401794.023,0.2744095327410564,2020-07-01T00:00:00.000+02:00,generacion,8
198,678064.64,0.428118073555623,2020-08-01T00:00:00.000+02:00,generacion,8
199,498813.313,0.32830680854599864,2020-09-01T00:00:00.000+02:00,generacion,8
200,600696.52,0.28362653477672156,2020-10-01T00:00:00.000+02:00,generacion,8
201,860679.118,0.4441913055116135,2020-11-01T00:00:00.000+01:00,generacion,8
202,793402.037,0.29422357853117415,2020-12-01T00:00:00.000+01:00,generacion,8
203,1156726.799,0.4080999685617893,2021-01-01T00:00:00.000+01:00,generacion,8
204,1448328.696,0.46684870463552225,2021-02-01T00:00:00.000+01:00,generacion,8
205,1206854.01,0.45787884220914166,2021-03-01T00:00:00.000+01:00,generacion,8
206,688403.318,0.41265639253471764,2021-04-01T00:00:00.000+02:00,generacion,8
207,290441.517,0.17963946606847653,2021-05-01T00:00:00.000+02:00,generacion,8
208,437704.852,0.30704791687288,2021-06-01T00:00:00.000+02:00,generacion,8
209,621623.371,0.3659361409128856,2021-07-01T00:00:00.000+02:00,generacion,8
210,890971.875,0.46360179709342664,2021-08-01T00:00:00.000+02:00,generacion,8
211,670404.721,0.42076179303761996,2021-09-01T00:00:00.000+02:00,generacion,8
212,436414.186,0.271740379909345,2021-10-01T00:00:00.000+02:00,generacion,8
213,418506.807,0.22479702854509442,2021-11-01T00:00:00.000+01:00,generacion,8
214,499906.223,0.2367874386618515,2021-12-01T00:00:00.000+01:00,generacion,8
215,254632.493,0.33825781076438327,2019-01-01T00:00:00.000+01:00,generacion,9
216,280915.127,0.516400448674331,2019-02-01T00:00:00.000+01:00,generacion,9
217,264679.209,0.45428542744478745,2019-03-01T00:00:00.000+01:00,generacion,9
218,270286.976,0.44355879207121246,2019-04-01T00:00:00.000+02:00,generacion,9
219,438949.715,0.5547087229270825,2019-05-01T00:00:00.000+02:00,generacion,9
220,392444.259,0.548484695224018,2019-06-01T00:00:00.000+02:00,generacion,9
221,276233.133,0.5127857613036476,2019-07-01T00:00:00.000+02:00,generacion,9
222,240480.068,0.5214718567618871,2019-08-01T00:00:00.000+02:00,generacion,9
223,205774.283,0.5045932651705295,2019-09-01T00:00:00.000+02:00,generacion,9
224,213406.628,0.46251492104762776,2019-10-01T00:00:00.000+02:00,generacion,9
225,225881.229,0.3520949458916032,2019-11-01T00:00:00.000+01:00,generacion,9
226,412861.014,0.5467158882346685,2019-12-01T00:00:00.000+01:00,generacion,9
227,434119.206,0.663721458717251,2020-01-01T00:00:00.000+01:00,generacion,9
228,406285.139,0.5839595175371912,2020-02-01T00:00:00.000+01:00,generacion,9
229,500662.199,0.5985804178848776,2020-03-01T00:00:00.000+01:00,generacion,9
230,613669.748,0.7394649438919824,2020-04-01T00:00:00.000+02:00,generacion,9
231,685757.911,0.7300615866887863,2020-05-01T00:00:00.000+02:00,generacion,9
232,599007.761,0.7126011544605362,2020-06-01T00:00:00.000+02:00,generacion,9
233,387663.473,0.6123043502283294,2020-07-01T00:00:00.000+02:00,generacion,9
234,258781.222,0.5105267170490645,2020-08-01T00:00:00.000+02:00,generacion,9
235,269449.295,0.5270638116799456,2020-09-01T00:00:00.000+02:00,generacion,9
236,328697.622,0.4695141241644054,2020-10-01T00:00:00.000+02:00,generacion,9
237,328941.025,0.640669029257656,2020-11-01T00:00:00.000+01:00,generacion,9
238,322965.905,0.4376575072311753,2020-12-01T00:00:00.000+01:00,generacion,9
239,304809.796,0.40673228760965746,2021-01-01T00:00:00.000+01:00,generacion,9
240,281952.551,0.5026822109896987,2021-02-01T00:00:00.000+01:00,generacion,9
241,313921.572,0.5230069430540039,2021-03-01T00:00:00.000+01:00,generacion,9
242,306887.187,0.5735554858245688,2021-04-01T00:00:00.000+02:00,generacion,9
243,424622.167,0.6032719323835264,2021-05-01T00:00:00.000+02:00,generacion,9
244,396508.174,0.6365554378083379,2021-06-01T00:00:00.000+02:00,generacion,9
245,256177.832,0.4587810959571187,2021-07-01T00:00:00.000+02:00,generacion,9
246,240942.055,0.49541769069216635,2021-08-01T00:00:00.000+02:00,generacion,9
247,224538.47,0.5355847781422914,2021-09-01T00:00:00.000+02:00,generacion,9
248,172299.286,0.47392890019035666,2021-10-01T00:00:00.000+02:00,generacion,9
249,141040.659,0.2791354353856557,2021-11-01T00:00:00.000+01:00,generacion,9
250,317869.122,0.4727084417215154,2021-12-01T00:00:00.000+01:00,generacion,9
