Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;05 Canarias;Valor;C. - De las cuales: Industria manufacturera;2021(P);1.176.939
Total Nacional;05 Canarias;Valor;C. - De las cuales: Industria manufacturera;2020;1.115.416
Total Nacional;05 Canarias;Valor;C. - De las cuales: Industria manufacturera;2019;1.266.692
Total Nacional;05 Canarias;Valor;F. Construcción;2021(P);2.394.525
Total Nacional;05 Canarias;Valor;F. Construcción;2020;2.310.668
Total Nacional;05 Canarias;Valor;F. Construcción;2019;2.711.660
Total Nacional;05 Canarias;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);11.127.549
Total Nacional;05 Canarias;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;8.818.759
Total Nacional;05 Canarias;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;14.735.898
Total Nacional;05 Canarias;Valor;J. Información y comunicaciones;2021(P);907.314
Total Nacional;05 Canarias;Valor;J. Información y comunicaciones;2020;890.943
Total Nacional;05 Canarias;Valor;J. Información y comunicaciones;2019;930.137
Total Nacional;05 Canarias;Valor;K. Actividades financieras y de seguros;2021(P);1.283.981
Total Nacional;05 Canarias;Valor;K. Actividades financieras y de seguros;2020;1.272.739
Total Nacional;05 Canarias;Valor;K. Actividades financieras y de seguros;2019;1.212.212
Total Nacional;05 Canarias;Valor;L. Actividades inmobiliarias;2021(P);5.470.328
Total Nacional;05 Canarias;Valor;L. Actividades inmobiliarias;2020;5.362.688
Total Nacional;05 Canarias;Valor;L. Actividades inmobiliarias;2019;5.372.560
Total Nacional;05 Canarias;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);3.000.688
Total Nacional;05 Canarias;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.754.741
Total Nacional;05 Canarias;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;3.432.266
Total Nacional;05 Canarias;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);9.267.195
Total Nacional;05 Canarias;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;8.802.605
Total Nacional;05 Canarias;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;8.573.356
Total Nacional;05 Canarias;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);1.855.078
Total Nacional;05 Canarias;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.797.959
Total Nacional;05 Canarias;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.385.894
Total Nacional;05 Canarias;Valor;Valor añadido bruto total;2021(P);38.761.826
Total Nacional;05 Canarias;Valor;Valor añadido bruto total;2020;35.249.621
Total Nacional;05 Canarias;Valor;Valor añadido bruto total;2019;42.792.260
Total Nacional;05 Canarias;Valor;Impuestos netos sobre los productos;2021(P);4.081.294
Total Nacional;05 Canarias;Valor;Impuestos netos sobre los productos;2020;3.380.503
Total Nacional;05 Canarias;Valor;Impuestos netos sobre los productos;2019;4.390.300
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);42.843.120
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;38.630.124
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;47.182.560
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
Total Nacional;06 Cantabria;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);185.011
Total Nacional;06 Cantabria;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;155.059
Total Nacional;06 Cantabria;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;153.770
Total Nacional;06 Cantabria;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);2.834.352
Total Nacional;06 Cantabria;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.479.943
Total Nacional;06 Cantabria;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;2.671.327
Total Nacional;06 Cantabria;Valor;C. - De las cuales: Industria manufacturera;2021(P);2.264.179
Total Nacional;06 Cantabria;Valor;C. - De las cuales: Industria manufacturera;2020;2.001.452
Total Nacional;06 Cantabria;Valor;C. - De las cuales: Industria manufacturera;2019;2.188.319
Total Nacional;06 Cantabria;Valor;F. Construcción;2021(P);824.530
Total Nacional;06 Cantabria;Valor;F. Construcción;2020;810.175
Total Nacional;06 Cantabria;Valor;F. Construcción;2019;929.138
Total Nacional;06 Cantabria;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);2.456.565
Total Nacional;06 Cantabria;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;2.085.220
Total Nacional;06 Cantabria;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;2.692.742
Total Nacional;06 Cantabria;Valor;J. Información y comunicaciones;2021(P);237.417
Total Nacional;06 Cantabria;Valor;J. Información y comunicaciones;2020;233.852
Total Nacional;06 Cantabria;Valor;J. Información y comunicaciones;2019;228.472
Total Nacional;06 Cantabria;Valor;K. Actividades financieras y de seguros;2021(P);439.321
Total Nacional;06 Cantabria;Valor;K. Actividades financieras y de seguros;2020;432.198
Total Nacional;06 Cantabria;Valor;K. Actividades financieras y de seguros;2019;414.519
Total Nacional;06 Cantabria;Valor;L. Actividades inmobiliarias;2021(P);1.787.659
Total Nacional;06 Cantabria;Valor;L. Actividades inmobiliarias;2020;1.745.949
Total Nacional;06 Cantabria;Valor;L. Actividades inmobiliarias;2019;1.751.170
Total Nacional;06 Cantabria;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);851.561
Total Nacional;06 Cantabria;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;762.496
Total Nacional;06 Cantabria;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;802.229
Total Nacional;06 Cantabria;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);2.547.812
Total Nacional;06 Cantabria;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;2.506.244
Total Nacional;06 Cantabria;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;2.536.541
Total Nacional;06 Cantabria;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);522.078
Total Nacional;06 Cantabria;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;516.487
Total Nacional;06 Cantabria;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;681.343
Total Nacional;06 Cantabria;Valor;Valor añadido bruto total;2021(P);12.686.306
Total Nacional;06 Cantabria;Valor;Valor añadido bruto total;2020;11.727.623
Total Nacional;06 Cantabria;Valor;Valor añadido bruto total;2019;12.861.251
Total Nacional;06 Cantabria;Valor;Impuestos netos sobre los productos;2021(P);1.335.761
Total Nacional;06 Cantabria;Valor;Impuestos netos sobre los productos;2020;1.124.700
Total Nacional;06 Cantabria;Valor;Impuestos netos sobre los productos;2019;1.319.508
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
Total Nacional;06 Cantabria;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);59.263.791
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;54.836.565
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;59.798.553
Total Nacional;07 Castilla y León;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);3.199.690
Total Nacional;07 Castilla y León;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;2.883.998
Total Nacional;07 Castilla y León;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;2.520.576
Total Nacional;07 Castilla y León;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);11.287.835
Total Nacional;07 Castilla y León;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;9.948.877
Total Nacional;07 Castilla y León;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;10.752.700
Total Nacional;07 Castilla y León;Valor;C. - De las cuales: Industria manufacturera;2021(P);8.719.598
Total Nacional;07 Castilla y León;Valor;C. - De las cuales: Industria manufacturera;2020;7.962.867
Total Nacional;07 Castilla y León;Valor;C. - De las cuales: Industria manufacturera;2019;8.593.537
Total Nacional;07 Castilla y León;Valor;F. Construcción;2021(P);3.234.368
Total Nacional;07 Castilla y León;Valor;F. Construcción;2020;3.196.523
Total Nacional;07 Castilla y León;Valor;F. Construcción;2019;3.603.267
Total Nacional;07 Castilla y León;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);10.102.843
Total Nacional;07 Castilla y León;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;8.680.651
Total Nacional;07 Castilla y León;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;11.024.204
Total Nacional;07 Castilla y León;Valor;J. Información y comunicaciones;2021(P);847.669
Total Nacional;07 Castilla y León;Valor;J. Información y comunicaciones;2020;831.047
Total Nacional;07 Castilla y León;Valor;J. Información y comunicaciones;2019;863.039
Total Nacional;07 Castilla y León;Valor;K. Actividades financieras y de seguros;2021(P);2.114.700
Total Nacional;07 Castilla y León;Valor;K. Actividades financieras y de seguros;2020;2.110.871
Total Nacional;07 Castilla y León;Valor;K. Actividades financieras y de seguros;2019;2.024.430
Total Nacional;07 Castilla y León;Valor;L. Actividades inmobiliarias;2021(P);6.106.319
Total Nacional;07 Castilla y León;Valor;L. Actividades inmobiliarias;2020;5.964.900
Total Nacional;07 Castilla y León;Valor;L. Actividades inmobiliarias;2019;5.973.587
Total Nacional;07 Castilla y León;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);3.079.627
Total Nacional;07 Castilla y León;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.783.641
Total Nacional;07 Castilla y León;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;3.104.848
Total Nacional;07 Castilla y León;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);11.687.265
Total Nacional;07 Castilla y León;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;11.709.257
Total Nacional;07 Castilla y León;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;12.000.189
Total Nacional;07 Castilla y León;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);1.957.926
Total Nacional;07 Castilla y León;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.928.080
Total Nacional;07 Castilla y León;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.367.505
Total Nacional;07 Castilla y León;Valor;Valor añadido bruto total;2021(P);53.618.242
Total Nacional;07 Castilla y León;Valor;Valor añadido bruto total;2020;50.037.845
Total Nacional;07 Castilla y León;Valor;Valor añadido bruto total;2019;54.234.345
Total Nacional;07 Castilla y León;Valor;Impuestos netos sobre los productos;2021(P);5.645.549
Total Nacional;07 Castilla y León;Valor;Impuestos netos sobre los productos;2020;4.798.720
Total Nacional;07 Castilla y León;Valor;Impuestos netos sobre los productos;2019;5.564.208
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);59.263.791
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;54.836.565
Total Nacional;07 Castilla y León;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;59.798.553
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);42.852.242
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;39.346.603
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;42.398.854
Total Nacional;08 Castilla - La Mancha;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);3.552.870
Total Nacional;08 Castilla - La Mancha;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;3.541.133
Total Nacional;08 Castilla - La Mancha;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;3.242.235
Total Nacional;08 Castilla - La Mancha;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);7.700.418
Total Nacional;08 Castilla - La Mancha;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;6.630.053
Total Nacional;08 Castilla - La Mancha;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;7.462.666
Total Nacional;08 Castilla - La Mancha;Valor;C. - De las cuales: Industria manufacturera;2021(P);5.755.078
Total Nacional;08 Castilla - La Mancha;Valor;C. - De las cuales: Industria manufacturera;2020;5.033.313
Total Nacional;08 Castilla - La Mancha;Valor;C. - De las cuales: Industria manufacturera;2019;5.750.342
Total Nacional;08 Castilla - La Mancha;Valor;F. Construcción;2021(P);2.554.643
Total Nacional;08 Castilla - La Mancha;Valor;F. Construcción;2020;2.384.846
Total Nacional;08 Castilla - La Mancha;Valor;F. Construcción;2019;2.723.850
Total Nacional;08 Castilla - La Mancha;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);7.206.317
Total Nacional;08 Castilla - La Mancha;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;6.182.367
Total Nacional;08 Castilla - La Mancha;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;7.522.351
Total Nacional;08 Castilla - La Mancha;Valor;J. Información y comunicaciones;2021(P);546.151
Total Nacional;08 Castilla - La Mancha;Valor;J. Información y comunicaciones;2020;513.417
Total Nacional;08 Castilla - La Mancha;Valor;J. Información y comunicaciones;2019;530.780
Total Nacional;08 Castilla - La Mancha;Valor;K. Actividades financieras y de seguros;2021(P);1.380.018
Total Nacional;08 Castilla - La Mancha;Valor;K. Actividades financieras y de seguros;2020;1.360.834
Total Nacional;08 Castilla - La Mancha;Valor;K. Actividades financieras y de seguros;2019;1.302.105
Total Nacional;08 Castilla - La Mancha;Valor;L. Actividades inmobiliarias;2021(P);4.207.168
Total Nacional;08 Castilla - La Mancha;Valor;L. Actividades inmobiliarias;2020;4.097.844
Total Nacional;08 Castilla - La Mancha;Valor;L. Actividades inmobiliarias;2019;4.080.420
Total Nacional;08 Castilla - La Mancha;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.705.813
Total Nacional;08 Castilla - La Mancha;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.543.379
Total Nacional;08 Castilla - La Mancha;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.671.440
Total Nacional;08 Castilla - La Mancha;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);8.467.113
Total Nacional;08 Castilla - La Mancha;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;8.210.307
Total Nacional;08 Castilla - La Mancha;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;8.135.098
Total Nacional;08 Castilla - La Mancha;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);1.449.568
Total Nacional;08 Castilla - La Mancha;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.439.222
Total Nacional;08 Castilla - La Mancha;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;1.782.729
Total Nacional;08 Castilla - La Mancha;Valor;Valor añadido bruto total;2021(P);38.770.079
Total Nacional;08 Castilla - La Mancha;Valor;Valor añadido bruto total;2020;35.903.402
Total Nacional;08 Castilla - La Mancha;Valor;Valor añadido bruto total;2019;38.453.674
Total Nacional;08 Castilla - La Mancha;Valor;Impuestos netos sobre los productos;2021(P);4.082.163
Total Nacional;08 Castilla - La Mancha;Valor;Impuestos netos sobre los productos;2020;3.443.201
Total Nacional;08 Castilla - La Mancha;Valor;Impuestos netos sobre los productos;2019;3.945.180
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);42.852.242
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;39.346.603
Total Nacional;08 Castilla - La Mancha;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;42.398.854
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);232.057.336
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;212.611.443
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;238.308.749
Total Nacional;09 Cataluña;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);2.266.659
Total Nacional;09 Cataluña;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;2.464.353
Total Nacional;09 Cataluña;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;2.438.008
Total Nacional;09 Cataluña;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);42.503.936
Total Nacional;09 Cataluña;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;37.359.687
Total Nacional;09 Cataluña;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;40.566.233
Total Nacional;09 Cataluña;Valor;C. - De las cuales: Industria manufacturera;2021(P);35.651.442
Total Nacional;09 Cataluña;Valor;C. - De las cuales: Industria manufacturera;2020;31.336.954
Total Nacional;09 Cataluña;Valor;C. - De las cuales: Industria manufacturera;2019;34.331.052
Total Nacional;09 Cataluña;Valor;F. Construcción;2021(P);10.555.450
Total Nacional;09 Cataluña;Valor;F. Construcción;2020;10.179.177
Total Nacional;09 Cataluña;Valor;F. Construcción;2019;11.775.616
Total Nacional;09 Cataluña;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);48.029.382
Total Nacional;09 Cataluña;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;40.816.413
Total Nacional;09 Cataluña;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;53.759.484
Total Nacional;09 Cataluña;Valor;J. Información y comunicaciones;2021(P);8.190.407
Total Nacional;09 Cataluña;Valor;J. Información y comunicaciones;2020;7.591.584
Total Nacional;09 Cataluña;Valor;J. Información y comunicaciones;2019;7.671.596
Total Nacional;09 Cataluña;Valor;K. Actividades financieras y de seguros;2021(P);8.173.993
Total Nacional;09 Cataluña;Valor;K. Actividades financieras y de seguros;2020;7.983.669
Total Nacional;09 Cataluña;Valor;K. Actividades financieras y de seguros;2019;7.568.664
Total Nacional;09 Cataluña;Valor;L. Actividades inmobiliarias;2021(P);27.122.597
Total Nacional;09 Cataluña;Valor;L. Actividades inmobiliarias;2020;26.469.700
Total Nacional;09 Cataluña;Valor;L. Actividades inmobiliarias;2019;26.430.888
Total Nacional;09 Cataluña;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);20.879.338
Total Nacional;09 Cataluña;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;19.312.614
Total Nacional;09 Cataluña;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;22.251.300
Total Nacional;09 Cataluña;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);34.311.058
Total Nacional;09 Cataluña;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;34.160.846
Total Nacional;09 Cataluña;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;33.751.516
Total Nacional;09 Cataluña;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);7.918.420
Total Nacional;09 Cataluña;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;7.667.880
Total Nacional;09 Cataluña;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;9.921.003
Total Nacional;09 Cataluña;Valor;Valor añadido bruto total;2021(P);209.951.240
Total Nacional;09 Cataluña;Valor;Valor añadido bruto total;2020;194.005.923
Total Nacional;09 Cataluña;Valor;Valor añadido bruto total;2019;216.134.308
Total Nacional;09 Cataluña;Valor;Impuestos netos sobre los productos;2021(P);22.106.096
Total Nacional;09 Cataluña;Valor;Impuestos netos sobre los productos;2020;18.605.520
Total Nacional;09 Cataluña;Valor;Impuestos netos sobre los productos;2019;22.174.441
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);232.057.336
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;212.611.443
Total Nacional;09 Cataluña;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;238.308.749
Total Nacional;10 Comunitat Valenciana;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);114.837.367
Total Nacional;10 Comunitat Valenciana;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;104.753.698
Total Nacional;10 Comunitat Valenciana;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;115.606.552
Total Nacional;10 Comunitat Valenciana;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);2.193.292
Total Nacional;10 Comunitat Valenciana;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;2.325.003
Total Nacional;10 Comunitat Valenciana;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;2.106.975
Total Nacional;10 Comunitat Valenciana;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);20.486.204
Total Nacional;10 Comunitat Valenciana;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;18.084.980
Total Nacional;10 Comunitat Valenciana;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;19.524.072
Total Nacional;10 Comunitat Valenciana;Valor;C. - De las cuales: Industria manufacturera;2021(P);16.216.645
Total Nacional;10 Comunitat Valenciana;Valor;C. - De las cuales: Industria manufacturera;2020;14.372.976
Total Nacional;10 Comunitat Valenciana;Valor;C. - De las cuales: Industria manufacturera;2019;15.657.206
Total Nacional;10 Comunitat Valenciana;Valor;F. Construcción;2021(P);6.494.332
Total Nacional;10 Comunitat Valenciana;Valor;F. Construcción;2020;6.316.273
Total Nacional;10 Comunitat Valenciana;Valor;F. Construcción;2019;7.318.817
Total Nacional;10 Comunitat Valenciana;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);24.158.435
Total Nacional;10 Comunitat Valenciana;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;20.489.888
Total Nacional;10 Comunitat Valenciana;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;25.986.458
Total Nacional;10 Comunitat Valenciana;Valor;J. Información y comunicaciones;2021(P);2.235.010
